text,label,second label
abla ben büyüyünce sen olucam 🔥 <3,0,
Abla böyle devam biz senin ve diğer tüm kadınların arkasındayız,0,
Abla çok motive oldum ya ✨,0,
Abla devamke 💪,0,
Abla güveniyorum sana🚀,0,
Abla idolsün🥰 😻 💖,0,
ABLA İDOLÜMSÜN YA ARKANDAYIM AŞIĞIM SANA,0,
abla seni destekliyorum umarım hedefine ulaşırsın,0,
Abla seni tebrik ediyorum çok güzelsin 😍✨🌸,0,
Abla yakıyorsun 🔥🔥😎,0,
Ablacım başarırsın sana güveniyorum 💪🚀🌟,0,
Ablam ben senin arkandayım destekçinim her zaman 🤝❤️🌈,0,
Aferin abla böyle devam 👏🌟💯,0,
Aferin gı ha gayret 💪🔥🏃‍♀️,0,
Aferin kızım devam güzellik 🌸✨💖,0,
Aferin sana 👏🥳🏆,0,
Aşırı güzelsin abla,0,
Aşkım toplu saç sana inanılmaz yakışıyor 💇‍♀️😍,0,
Aşkım 😘❤️,0,
Aşko çok güzelsin 🌸✨😍,0,
Azmin hiç bitmesin 💪🔥,0,
Azmin için 🏆🚀👏,0,
Azmine hayranım,0,
Bal gibisin bal 🍯💛,0,
Bal kadın seni severek takip ediyorum ve harika bir kadınsın 🌹✨💖🥰,0,
Başarabilirsin güzel kadın 🌟💪👑,0,
BAŞARCAKSIN DEVAM,0,
başarırsın abla,0,
Bayılıyorum sana,0,
Ben inanıyorum abla sen başarıcaksın başkalarının dediklerine bakma 💪🔥✨❤️,0,
Bu nasıl bir tatlılık allahım 🥰🍬,0,
Bence kimseyi duyma görme hedefe kilitlen 🎯👊,0,
Bu süreçte sağlıklı ve de mutlu olmanı dilerim Ezgiciğim 🌸🙏💖🌈,0,
Bir gün başaracaksın 🌟💪 disiplinini bozma biz severek izliyoruz seni 👏😍,0,
Bu tarzını çok beğendim 😍👌✨,0,
Bir insanın kalbi yüzünden okunur buna inanıyorum. Sevdiğim bi influencer 💖🌸,0,
Bu yolda sana başarılar dilerim 🚀💪🌟,0,
Bir şeyler için çabalayan bir insan gayet motive edici saçma yorumlara aldırma ben bile motive oldum 🙌🔥,0,
Canım süpersin 💖👏 bende sizin gibi ameliyat oldum zor bir süreçti. şimdi aldığım kiloları vereceğiz inşallah 🙏💪✨,0,
Boşver insanları bravo ezgi 👏✨ devam..,0,
Çiçek 🌸🌹,0,
Böyle devammmmm 🔥🔥👏💯✨,0,
Çok ayıp yapılan yorumlar harikasın canım kimseye takma devam 👑💪🔥,0,
Bravo canım kızım çok güzel tebrik ederim 🎉👏🌹,0,
Çok geçmiş olsun 🙏💐,0,
Bu kadar güzel enerji herkese nasip olmaz 🌟💫✨😍🙌,0,
Çok genç ve hayat dolusun başaracağına inanıyorum ✨🌟💪,0,
Bu kadın niye bu kadar güzel? 😍🌸,0,
Çok güzel bir başlangıç olmuş tebrikler 🎉👏🌸,0,
Çok güzel kız,0,
Çok güzelsin,0,
Çok haklısın bebeğim inşallah amacına ulaşırsın,0,
Çok iyi bu motivasyonda devam ediyorsun başarılar,0,
Çok iyi gidiyorsun seni çok seviyorum ,0,
Çok iyi lan 🔥👏,0,
Devams 💪🔥✨👏🌟,0,
Çok iyisin abla asla vazgeçme 💪🔥👏✨🌟,0,
dm bakabilir misin 📩👀,0,
Çok iyisin 👏😍,0,
Dünyanın en güzel tatlı kadını 💖🌸👑,0,
Çok pozitif bir insansın ✨🌞🌈,0,
Düşüncelerin çok değerli 💡✨❤️,0,
Çok sevindim 🥰🙌,0,
Eğer istersen her şeyi başarabilirsin 💪🔥👏🌟🚀✨ bu ülkenin bakış açısı değişmez kimin ne düşündüğünü takma ben inanıyorum sana 🙏💖✨👏🌟 ışığını bulacaksın 🌞🌈,0,
Çok sevindim sağlıklı hayata adım attığın için eminim başaracaksın 🌸💪🌟,0,
Enerjini çok seviyorum ✨⚡🌟,0,
Çok tatlı birisin 🥰🍭🌸,0,
Enerjini ve seni seviyorum 💖🙌,0,
Çok tatlısın bu azimle devam tatlım 😍💪🔥✨👏,0,
Ezgi abla başarılar 🎉👏🌟🌸,0,
Çok yakışmış hepsi 😎👌,0,
Ezgi abla biz arkandayız yaparsın 💪🤝🔥,0,
Darısı başıma inşallah 🙏🌸,0,
Ezgi harika gidiyorsun aynı motivasyon ve enerjiyle devam 🚀🔥👏🌟✨,0,
Devam slay abla 🚀🔥,0,
Ezgicim başaracaksın ,0,
